VIN (1-10),County,City,State,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJSA1H1XE,Clark,Brush Prairie,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,18.0,103867305,POINT (-122.4767202 45.7381698),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040603.0
5YJSA1CN3D,Thurston,Olympia,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,22.0,182783100,POINT (-122.8733203 47.0133209),PUGET SOUND ENERGY INC,53067010700.0
KNDJP3AEXG,King,Seattle,WA,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.0,31950.0,43.0,237563742,POINT (-122.3008235 47.6862671),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004401.0
5YJSA1H16E,King,Issaquah,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,5.0,232952254,POINT (-122.0209893 47.5632565),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032220.0
5YJSA1CP6D,King,Bellevue,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,41.0,213227241,POINT (-122.202397 47.619252),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023902.0
5YJSA1H16E,King,Seattle,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,43.0,183206306,POINT (-122.3340795 47.6099315),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008101.0
5YJSA1DPXD,Clark,Vancouver,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,49.0,114453867,POINT (-122.6238365 45.6456491),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011042800.0
KNDJX3AE6J,King,Maple Valley,WA,2018,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,111.0,33950.0,5.0,138300011,POINT (-122.0310296 47.3861675),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031604.0
2C4RC1N73K,Snohomish,Lynnwood,WA,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32.0,39995.0,21.0,477814592,POINT (-122.27336 47.861417),PUGET SOUND ENERGY INC,53061041901.0
5YJSA1CN8D,King,Woodinville,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,45.0,214482425,POINT (-122.1368031 47.7621254),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032327.0
5YJSA1CP5C,Spokane,Spokane,WA,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265.0,59900.0,6.0,179105839,POINT (-117.4880843 47.6320646),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063013600.0
5YJSA1DP9D,Clark,Battle Ground,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,18.0,207796942,POINT (-122.5256203 45.7875036),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040505.0
KNDJX3AE3G,King,Des Moines,WA,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.0,31950.0,33.0,154810414,POINT (-122.3145447 47.3984346),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030003.0
5YJSA1CG6D,King,Mercer Island,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,41.0,202149104,POINT (-122.2283088 47.5737238),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024302.0
5YJSA1H17E,King,Issaquah,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,5.0,6117576,POINT (-122.0402383 47.5276876),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032103.0
KNDJX3AE0H,King,Kent,WA,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.0,32250.0,33.0,293046204,POINT (-122.2612577 47.3821912),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029102.0
5YJSA1DP5D,King,Seattle,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,36.0,150788277,POINT (-122.345422 47.6162381),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008003.0
5YJSA1DP5D,Mason,Shelton,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,35.0,234020146,POINT (-123.0910261 47.2173827),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,53045961200.0
5YJSA1S19E,King,Woodinville,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,45.0,241959784,POINT (-122.1368031 47.7621254),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032311.0
5YJSA1H12E,King,Normandy Park,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,33.0,191583094,POINT (-122.3472273 47.4568458),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028600.0
KNDJX3AE3H,King,Renton,WA,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.0,32250.0,37.0,349491180,POINT (-122.2171169 47.4762968),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025302.0
5YJSA1H11E,King,Kent,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,47.0,194117073,POINT (-122.201564 47.402358),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029406.0
5YJSA1DP0C,King,Bellevue,WA,2012,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,265.0,59900.0,48.0,182439309,POINT (-122.1436732 47.6157551),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023401.0
2C4RC1L73K,King,Kent,WA,2019,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32.0,39995.0,47.0,190080033,POINT (-122.201564 47.402358),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029403.0
KNDJX3AE9G,King,Kent,WA,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93.0,31950.0,47.0,157773486,POINT (-122.201564 47.402358),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029405.0
5YJSA1H18E,Clark,Brush Prairie,WA,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,17.0,227319291,POINT (-122.4767202 45.7381698),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040715.0
5YJSA1DP4D,King,Bothell,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,1.0,141172055,POINT (-122.201408 47.754528),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021804.0
5YJSA1CGXD,Kitsap,Bainbridge Island,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,23.0,179389115,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035091002.0
5YJRE1A10A,King,Seattle,WA,2010,TESLA,ROADSTER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,245.0,110950.0,43.0,112555467,POINT (-122.3212726 47.6296532),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006500.0
5YJSA1CN7D,Benton,Kennewick,WA,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208.0,69900.0,8.0,106937792,POINT (-119.260882 46.194303),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,53005010815.0
